osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
4459193490,,National Oil Petrol Station,,Ntulelei,,,,,Kaplong-Narok-Maai Road,fuel,,,
4460201785,,OLA Energy,,,,,,,Kamandura-Maai Mahiu-Narok Road,fuel,,,
4461211795,,Shell,,Isiolo,,,,,Isiolo-Marsabit Road,fuel,,,
4475364889,,Shell,,Wundanyi,,,,,,fuel,,,
4494724700,,Engen,,,,,,,,fuel,,,
4529699333,,Rubis,,Kilifi,,,,,,fuel,,,
4544312592,,Amana Petroleum,,Kikuyu,,,,,Waiyaki Way,fuel,,,
4563783507,,Gulf Energy -Paws Station Kitengela,,Athi River,,,,,Namanga Road,fuel,,,
4581101592,,Chemigas,,,,,,,,fuel,,,
4584325194,,Total,Mo-Su 08:00,,,,,,,fuel,,,
4621825373,,Total,Mo-Sa 05:00-23:00,Nairobi,,,,,Kiambu Road,fuel,,,
4625573882,,National Oil Petrol Station,,Turbo,,,,,Eldoret Road,fuel,,,
4685351383,,Shell,,Garissa,,,,,Garissa-Daadab Road,fuel,,,
4720565411,,Shell,,Kisii,,,,,Kisii-Rongo Road,fuel,,,
4739695158,,Total,,Nairobi,,,,,Kangundo Road,fuel,,,
4815508311,,Astrol Petrol Station,,Nairobi,,,,,Lenana Road,fuel,,,
4838514223,,Petrocity,,,,,,,,fuel,,,
4847007116,,Jadana Gas / Fuel Station,,,,,,,,fuel,,,
4847007694,,Oryx Gas / Fuel Station,,,,,,,,fuel,,,
4847008036,,,,,,,,,Hospital Road,fuel,,,
4854188261,,,,,,,,,,fuel,,,
4875283480,,Gulf Energy - Nanyuki,,Nanyuki,,,,,Nyeri-Nanyuki Road,fuel,,,
4914118412,,Shell,,Naivasha,,,,,Nairobi - Nakuru Road,fuel,,,
4919758109,,OLA Energy,,Malindi,,,,,Malindi-Garsen Road,fuel,,,
4936580820,,,,,,,,,,fuel,,,
4946656823,,Flash,,Thika,,,,,Garissa Road,fuel,,,
4946660223,,Engen,,Thika,,,,,Garissa Road,fuel,,,
4946660224,,"Shell Petrol Station, Muguga",,Thika,,,,,Garissa Road,fuel,,,
4946681221,,Hashi petrol station,,Thika,,,,,Garissa Road,fuel,,,
